SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,Churn_Yes,TotalCharges
0,1,25,False,False,False,False,False,False,False,True,25
0,41,25,True,False,True,False,False,True,False,False,1025
0,52,19,False,True,True,False,False,False,False,False,988
0,1,76,False,False,True,False,False,True,False,True,76
0,67,51,True,False,True,False,True,False,False,False,3417
1,68,90,False,False,True,True,True,False,False,True,6120
0,23,77,False,True,True,True,True,False,False,False,1771
0,72,72,True,True,True,False,False,False,False,False,5184
0,70,104,True,False,True,True,True,False,False,True,7280
0,1,19,True,False,True,False,False,True,False,True,19
0,1,20,True,False,True,False,False,False,False,False,20
0,34,84,True,True,True,False,False,False,True,False,2856
1,28,51,True,True,True,True,True,True,False,False,1428
1,18,85,False,False,True,True,True,False,False,True,1530
0,15,20,False,False,True,False,True,False,False,False,300
1,11,95,False,False,True,True,True,False,True,True,1045
0,11,54,True,False,True,False,False,True,False,True,594
0,1,70,True,True,True,True,True,False,True,True,70
0,37,89,False,True,True,False,False,False,False,False,3293
0,22,89,True,True,True,False,True,False,False,True,1958
0,1,70,False,False,True,False,False,False,False,False,70
0,1,19,False,True,True,False,False,True,False,False,19
0,46,80,True,True,True,False,False,False,False,False,3680
0,51,107,False,False,True,True,False,False,True,False,5457
0,41,104,False,False,True,False,False,False,False,False,4264
0,5,68,False,False,True,False,False,False,False,True,340
0,45,89,False,False,True,True,True,False,False,True,4005
0,29,60,True,True,True,False,False,False,False,False,1740
1,15,92,False,False,True,True,False,False,True,False,1380
0,72,64,True,False,False,False,False,False,False,False,4608
0,50,104,True,False,True,True,True,False,True,False,5200
0,27,21,True,True,True,False,True,False,False,False,567
0,72,85,True,False,True,False,False,True,False,False,6120
0,51,70,False,True,True,False,False,False,False,False,3570
0,60,94,False,False,True,False,False,False,False,False,5640
0,17,19,True,False,True,True,True,False,True,False,323
0,72,21,False,False,True,False,True,False,False,False,1512
0,33,104,False,False,True,False,True,False,False,True,3432
1,66,105,False,True,True,True,True,False,False,False,6930
0,69,104,False,True,True,True,True,False,False,True,7176
0,5,70,True,False,True,False,False,True,False,True,350
0,57,101,False,False,True,True,False,False,True,False,5757
1,8,76,False,False,True,False,False,True,False,True,608
0,14,51,False,False,True,True,False,False,True,False,714
0,25,95,True,False,True,True,False,False,False,True,2375
0,52,20,False,True,True,True,True,False,False,False,1040
1,7,76,False,False,True,False,False,False,False,True,532
0,13,80,True,False,True,False,True,False,False,True,1040
1,15,90,False,False,True,True,False,False,True,True,1350
0,22,55,True,False,True,True,False,False,True,True,1210
0,19,20,False,False,True,True,True,False,False,False,380
0,23,30,True,True,False,False,True,False,False,False,690
0,72,114,False,False,True,True,False,False,False,False,8208
1,72,98,True,False,True,True,True,False,False,False,7056
0,59,97,False,True,True,False,False,True,False,False,5723
0,70,75,False,True,True,True,True,False,False,False,5250
0,70,101,True,True,True,True,True,True,False,False,7070
0,9,103,True,True,True,True,True,True,False,False,927
0,3,25,False,False,True,True,False,False,True,False,75
1,17,102,True,False,True,True,True,False,True,False,1734
0,28,70,False,True,True,True,True,False,False,False,1960
0,10,54,False,False,True,True,True,False,False,False,540
0,11,21,True,True,True,False,False,False,True,False,231
1,72,103,True,False,True,False,False,True,False,False,7416
0,8,70,True,False,True,True,True,False,False,True,560
1,69,20,True,False,True,False,False,False,False,False,1380
0,39,20,False,True,True,True,True,True,False,False,780
0,67,51,True,True,False,False,False,False,True,False,3417
0,39,20,True,False,True,False,False,False,True,False,780
0,54,66,True,True,True,False,True,False,False,False,3564
0,1,74,False,False,True,False,False,False,False,True,74
0,72,60,False,True,False,False,False,True,False,False,4320
0,10,99,True,False,True,True,True,False,True,True,990
0,13,97,True,True,True,True,False,False,True,True,1261
0,35,99,False,False,True,False,False,False,False,False,3465
0,12,36,True,True,False,True,True,True,False,False,432
0,31,91,True,False,True,False,False,True,False,False,2821
0,53,108,False,True,True,False,False,False,False,False,5724
0,30,20,True,False,True,True,False,True,False,False,600
